===Round 1A 2020===
The top 1500 contestants in this round will advance to Round 2.
number of participants: 11937

{1} Pascal Walk
 [1]  0pt visible    ?/7644
 [2]  3pt visible 6159/7644
 [3] 11pt visible 5219/7644
 [4] 21pt  hidden 1820/7644
{2} Square Dance
 [1]  0pt visible    ?/4141
 [2]  9pt visible 3114/4141
 [3] 28pt  hidden  605/4141
{3} Pattern Matching
 [1]  0pt visible    ?/10401
 [2]  5pt visible 8235/10401
 [3]  5pt visible 5995/10401
 [4] 18pt visible 4377/10401

3615   MinumCoklatPanas Indonesia  33pt 1:50:58 | 1:10:06 2/0 AA__ | 1:46:58 2/0 A__ | 0:47:42 3/1 AA__
3774         JoshuaEvan Indonesia  33pt 2:41:40 | 2:17:40 7/4 AA__ | 1:38:27 1/0 A__ | 0:48:29 3/2 AA__
4074            jfawkes Indonesia  28pt 0:37:48 | 0:00:00 1/0 ____ |       -   -   - | 0:37:48 2/0 AAA_
4108        kelvinc1024 Indonesia  28pt 0:43:01 | 0:00:00 3/0 ____ |       -   -   - | 0:39:01 2/1 AAA_
4117           Owmicron Indonesia  28pt 0:44:30 |       -   -    - |       -   -   - | 0:40:30 2/1 AAA_
4131     nasgorportugal Indonesia  28pt 0:45:48 |       -   -    - |       -   -   - | 0:45:48 1/0 AAA_
4290                ya_ Indonesia  28pt 1:02:56 |       -   -    - |       -   -   - | 1:02:56 1/0 AAA_
4781           Rwhendry Indonesia  28pt 2:04:40 | 0:00:00 2/0 ____ | 0:00:00 1/0 ___ | 1:56:40 4/2 AAA_
5020          alvinvaja Indonesia  28pt 2:33:45 |       -   -    - |       -   -   - | 2:29:45 2/1 AAA_
5213 thariq_nugrohotomo Indonesia  24pt 1:54:02 | 1:41:04 1/0 AA__ | 0:00:00 1/0 ___ | 1:54:02 1/0 AA__
5579          minohcity Indonesia  23pt 2:28:11 | 2:28:11 1/0 AA__ | 1:55:55 1/0 A__ |       -   -    -
5630              rheru Indonesia  19pt 0:59:38 | 0:55:38 2/1 AA__ | 0:00:00 1/0 ___ | 0:12:48 1/0 A___
5769             mcmoor Indonesia  19pt 1:50:48 | 1:42:48 3/2 AA__ |       -   -   - | 0:33:26 1/0 A___
6115      folcotandiono Indonesia  14pt 0:40:18 | 0:40:18 1/0 AA__ |       -   -   - | 0:00:00 1/0 ____
6141              KFile Indonesia  14pt 0:58:52 | 0:58:52 2/0 AA__ |       -   -   - |       -   -    -
6172        clusthermal Indonesia  14pt 1:10:41 | 1:10:41 2/0 AA__ |       -   -   - |       -   -    -
6216      alwyntandiono Indonesia  14pt 1:21:47 | 1:21:47 1/0 AA__ |       -   -   - |       -   -    -
6361          msyamsula Indonesia  14pt 1:50:50 | 1:46:50 4/1 AA__ |       -   -   - |       -   -    -
6503         derricklim Indonesia  14pt 2:19:00 |       -   -    - | 2:15:00 1/0 A__ | 0:27:42 2/1 A___
6570           jonbonto Indonesia  14pt 2:27:14 | 2:23:14 2/1 AA__ |       -   -   - | 0:00:00 3/0 ____
6683          Bryannoel Indonesia  14pt 2:36:48 | 2:28:48 3/2 AA__ |       -   -   - |       -   -    -
6777         evanarlian Indonesia  13pt 2:07:52 | 2:07:52 1/0 A___ |       -   -   - | 1:03:43 1/0 AA__
7135      keziaaurelia1 Indonesia  10pt 1:25:49 | 0:00:00 3/0 ____ |       -   -   - | 1:25:49 8/0 AA__
7461        erwin9huang Indonesia  10pt 2:47:44 |       -   -    - |       -   -   - | 2:15:44 9/8 AA__
7574            naffins Indonesia   9pt 1:59:49 |       -   -    - | 1:59:49 1/0 A__ | 0:00:00 1/0 ____
8060         andreanlay Indonesia   5pt 0:36:35 |       -   -    - |       -   -   - | 0:36:35 2/0 A___
8345              kecap Indonesia   5pt 0:59:54 |       -   -    - |       -   -   - | 0:59:54 1/0 A___
8653             fauh45 Indonesia   5pt 1:26:21 | 0:00:00 2/0 ____ |       -   -   - | 1:18:21 3/2 A___
8854             wizkim Indonesia   5pt 1:51:25 |       -   -    - |       -   -   - | 1:51:25 2/0 A___
9413         samlushadi Indonesia   0pt 0:00:00 |       -   -    - |       -   -   - | 0:00:00 1/0 ____
9413          Taufiqhus Indonesia   0pt 0:00:00 |       -   -    - |       -   -   - | 0:00:00 3/0 ____
9413           darksta5 Indonesia   0pt 0:00:00 | 0:00:00 1/0 ____ |       -   -   - | 0:00:00 3/0 ____
9413         AlfiSumadi Indonesia   0pt 0:00:00 |       -   -    - |       -   -   - | 0:00:00 2/0 ____
9413           ArvinCiu Indonesia   0pt 0:00:00 |       -   -    - |       -   -   - | 0:00:00 3/0 ____
